0,1,2,3
46660.69425,46719.65354,47007.7339,47433.99434
47078.29619,46796.04777,47175.99204,47666.21285
47251.10499,46999.67418,47112.70198,47505.07021
47502.50462,47266.82727,47288.90875,47205.28793
47348.54443,47371.28938,47100.16768,47044.91223
47166.74767,47357.50272,46877.32592,46974.86503
47290.84132,47615.10025,46448.82857,46469.92627
46683.12193,47214.65556,45877.78535,45830.77907
47052.31229,47908.65875,45771.0323,46341.27511
47123.85609,48191.15597,45452.03087,45997.19899
47554.26547,48800.35446,45725.61621,45874.95117
47774.65575,49012.56862,45835.72233,45865.09051
48156.85366,49298.87771,46043.27322,45785.36526
48234.71026,49520.70297,45960.64684,45853.53771
48106.69365,49508.74692,45684.91513,45111.99184
47028.58356,48700.17595,45089.60829,43508.00354
46272.303,47980.672,44767.08791,43239.1119
46112.49717,47594.37613,44820.26775,43509.74437
45889.64477,47040.32352,44389.14469,43049.40987
45735.27753,46489.08608,44632.83611,42961.93
45134.54581,46224.33272,44280.00713,42584.64416
44238.86399,45620.45335,43920.09385,41461.63079
42482.59014,44191.05045,43663.37663,40494.39756
40382.13899,42662.40412,43820.67848,42091.48949
40081.12146,41780.20539,43419.77803,43638.26162
40969.09926,41078.28703,43527.04161,43991.37059
42427.54469,42480.31976,43470.35576,43474.35252
42575.22099,43193.59081,43837.24226,44321.60831
43294.23876,44624.70182,44040.61682,45141.63468
43030.32919,45008.54927,43849.19678,45341.76953
43412.6846,45507.73674,43805.39218,45524.62997
43773.27199,45822.42186,44237.21294,46103.79149
43306.40785,45389.28634,44491.33337,46292.05703
43517.46855,45577.80905,44640.77637,46563.7547
44382.49255,46581.05954,44867.23218,47380.57027
44866.32068,47078.05424,45156.49491,47651.34882
45783.2965,48020.4768,45639.5987,48108.14079
46089.40452,48960.41213,45542.30763,48858.44561
45835.36854,49148.05833,45333.39558,48860.38122
46314.24808,50479.1179,45046.37281,49885.42104
46575.83781,50818.19978,44931.56233,49035.75486
46681.6375,51333.17116,45015.25543,48943.41771
46786.09809,51745.64038,45118.74517,49158.69658
46231.16518,51296.19521,44975.63247,48523.35365
46336.22,51796.72863,44790.65078,49488.88256
45779.01518,51312.83203,44121.20792,48784.88023
45698.73755,50959.02003,44114.09166,48923.90334
45876.44625,51345.5335,44136.75748,49256.25623
45939.31555,51130.02789,44162.41726,48949.91844
46013.77113,51238.56818,44362.35505,49343.99175
45781.79762,50989.19091,44191.85163,49063.09689
45816.01395,50948.09722,44103.90307,49061.02737
45584.63238,50548.59903,44296.04059,49403.69134
45241.03864,50440.15308,44396.4679,49947.50058
44875.37559,50568.22904,44353.62501,50584.99825
44716.92105,50587.65819,44262.97619,50648.14298
44948.48751,50638.89862,44442.87311,51183.82022
45610.09433,50849.46781,44696.45562,51599.79393
