Actual,Proposed LDSS,SARIMA,SVR,ANN,RNN,LSTM,GRU
49520.0,49045.189439999995,58608.723096245274,51671.6126948529,53082.92,51400.54,54312.94,50298.742
49770.0,49157.23574,57920.87190155492,51867.7510974632,52733.73,50734.25,53532.043,49937.223
49344.0,48549.88004,57925.12343040361,50620.0586252648,52245.98,50595.87,52645.906,49560.496
48678.0,48770.61271,59085.17473413176,50217.17832484658,51640.594,49794.926,52356.574,49876.367
48254.0,49023.92816,60053.29942502838,50737.18219017502,52129.613,49854.637,52042.273,49458.605
47740.0,48768.73797,60114.937134680826,50164.93852035418,52319.6,49035.85,51770.344,48652.527
47486.0,48770.1075,59951.67117769161,50360.01592693755,52761.773,48741.652,51536.715,47920.84
47398.0,48258.89322,59451.63271140695,49737.72752642252,52579.004,48211.996,50972.305,47626.855
47456.0,48822.515080000005,58794.74490783613,49490.06011864921,51466.438,47921.773,50516.383,47025.547
47682.0,48469.07133,58501.97811057621,48490.03072235884,50732.69,46887.906,48965.938,45313.05
47970.0,48461.61497,57903.25435470356,47923.49735629377,49347.766,46038.426,47823.082,44415.14
48098.0,48168.0656,57666.134099338364,47285.069797163436,48501.78,45996.34,46932.41,43870.38
49184.0,48263.02617,58121.17882027232,46611.60903290067,47569.617,46280.977,47032.832,44922.414
49950.0,48624.69931,58112.132615260096,47080.87073562418,47710.504,46526.543,47574.81,45337.047
50018.0,48477.84245,57562.48612580348,47230.77994063385,47927.684,46667.957,47786.215,45582.754
49788.0,48768.80492,57509.86478739592,47863.75453536928,48388.37,46089.24,47795.75,45655.11
50146.0,49213.484110000005,56847.59491905216,48448.06638987832,48728.805,47411.652,47771.098,46537.426
49444.0,49909.914430000004,55849.72363186018,49148.73385090661,49731.086,48066.426,48000.023,46659.72
49367.0,49245.88428,56681.619156070105,48641.11941331327,49764.395,49597.207,48548.504,46817.832
49346.0,49134.83622,56927.56496921484,49221.521677627745,51182.715,49523.582,49520.582,48071.54
49540.0,49605.2079,57130.20022134244,49749.05600986295,51738.527,50463.906,50273.355,48692.504
49214.0,48294.22116,57604.711202252816,48867.773686389635,52093.17,50446.15,50426.31,48462.496
48688.0,48155.715430000004,57080.67775210278,49004.03829819566,51703.17,50720.758,51010.33,49040.438
48046.0,48330.77864,57140.68034986788,50146.666452993246,51729.86,51300.05,51353.5,49178.633
47754.0,48350.68865,57074.98481692165,49313.644152868575,50927.48,50505.926,51491.88,49116.812
47414.0,47719.28998,57252.48817925984,49597.565622795315,51932.113,50982.78,51570.387,49087.617
46968.0,47595.28307,57141.41103592955,49823.15552910724,51828.816,51059.883,51770.91,49268.457
46328.0,47262.71714,58341.273317973464,49558.82105847535,51898.527,50744.098,51785.855,49101.44
46570.0,46784.59084,58885.99790118415,49272.62352982878,51331.06,51304.2,51672.03,49282.098
46680.0,46627.08204,59144.717505476205,48891.32663306877,50615.61,50946.86,50971.215,48509.004
47100.0,46476.96264,58971.915315876045,48461.85041299975,50062.812,50878.574,50237.324,47534.81
46722.0,46609.71632,59550.44251646821,48131.83291223772,49459.64,49309.89,49749.652,46907.07
46261.0,46793.94021,59811.976214478076,47619.16062788615,49111.008,49980.03,49126.555,46869.793
47072.0,46872.12549,59880.12363346447,47265.50791368814,48239.06,49372.273,48370.97,46520.918
47250.0,47278.11072,60088.0261665226,47807.27059516938,47727.062,50187.86,47859.25,46677.113
46900.0,47123.462719999996,61169.96828284715,47897.772690682395,47850.93,49794.44,47578.242,46891.098
46334.0,46807.37992,61713.06822469802,48345.12575050125,47712.703,50809.434,47593.004,47780.34
46566.0,47620.62861,61700.27645625299,50074.17126122892,47478.074,51623.773,47815.004,48412.258
46506.0,47019.32321,61596.050771125454,50537.347639349995,47479.055,51265.188,47275.55,47720.68
