Date,Actual,MW-LTS-500,SVR,ANN,RNN,LSTM,GRU,SARIMA
2020/8/3,51450.0,49954.56,45043.40394784426,48595.582,45371.12,44280.996,45449.742,47552.901324384715
2020/8/10,50384.0,51821.36,45766.47897742192,49336.29,46393.555,44763.285,46148.375,47898.6588093077
2020/8/17,51682.0,51263.51,46346.216159349104,49667.758,46836.92,44445.71,45927.19,47885.32599779238
2020/8/24,51526.0,50920.7,47531.08553135122,50123.22,47809.113,44121.32,45894.7,47429.17829401679
2020/8/31,52026.0,51319.61,48166.31237317523,50327.805,47943.355,43372.203,44970.35,47208.570979248696
2020/9/7,52258.0,51523.67,47464.5375212094,50257.473,46849.77,42957.945,43290.258,47473.40011793915
2020/9/14,52140.0,52637.8,48739.30452994072,50689.13,46854.664,42852.652,42937.098,47140.75155206423
2020/9/21,51604.0,52414.97,47848.438466114545,50455.695,46561.06,42122.637,42685.773,47304.64451191401
2020/9/28,51247.71,52435.23,46059.08407442411,49807.176,45605.594,41035.008,42265.746,47805.3849262896
2020/10/5,51504.29,52686.1,46897.21286192161,49961.45,44584.074,40608.184,41915.39,48395.977682124256
2020/10/12,51626.0,51878.94,46925.46915608136,49757.055,44884.12,40376.582,41731.113,48446.89811474908
2020/10/19,52038.0,52316.8,47627.19996375371,49051.406,43890.8,40125.273,41479.902,48712.81483516306
2020/10/26,51726.0,51927.24,47466.06503227915,48782.133,43082.156,39495.34,40799.73,48731.69162212106
2020/11/2,51620.0,51648.32,48056.36127111335,48999.113,42181.625,39155.36,39741.44,48926.29160685414
2020/11/9,52124.0,51584.44,47152.90238119416,49112.816,41717.152,39236.844,39967.125,48481.73164101343
2020/11/16,53216.0,52397.83,47535.6891422974,48605.906,42400.965,39432.09,39908.1,48541.64797224973
2020/11/23,54890.0,52676.75,47143.81894206954,47296.08,42134.918,39438.46,39902.19,48274.2276099697
2020/11/30,57448.0,52383.8,47748.878502775005,47426.035,41423.965,39352.176,39603.656,48928.82401372649
2020/12/7,57418.0,52883.99,48841.52093557425,47959.47,41335.08,39848.46,39102.477,49090.54760861049
2020/12/14,58154.0,53338.99,49686.110063145155,48894.668,42540.84,40860.176,39665.324,49211.96447522628
2020/12/21,58320.0,54502.99,51470.850165040276,49254.18,43634.215,42032.055,40050.836,49084.91554577325
