Actual,MW-GA-GRU,ARIMA,SVR,ANN,LSTM,GRU,RNN
51386.0,47462.085999999996,45719.17477145616,50007.85371867634,51153.066,46975.7,46698.19,45938.93
51784.0,49644.344000000005,45793.947333158314,50551.920431465434,51932.54,48312.297,47602.96,46839.78
52094.0,49616.637,45841.486417821085,51238.98965753393,54883.508,49637.457,48686.453,47875.35
51706.0,50291.004,45811.33398938163,51027.246896335375,54725.773,49703.004,48291.805,48270.527
51114.0,50718.484000000004,45821.70311489859,50627.00523772385,54840.492,49874.395,47617.29,48775.53
50496.0,50429.91,45753.01993271591,49472.7213406487,53865.68,49680.22,47278.06,48932.523
51922.0,50334.246,45737.81884392091,49754.04131388779,52160.11,49095.625,46290.387,48379.97
51842.0,52409.42,45644.868549403975,49717.40918770531,52337.67,50688.367,47140.035,49384.098
52198.0,52369.15,45637.91982819274,49936.338657617416,50641.29,50516.98,47408.062,49676.344
52158.0,52189.6,45651.83020554543,50284.03051513369,50860.805,50205.24,47454.53,49795.625
52090.0,53397.04,45771.097885604584,50339.53198682272,50684.543,49613.074,47371.332,49571.844
51144.0,52150.395,45806.74042417353,50443.63572531663,49856.715,49765.35,47394.184,49755.08
51375.71,50941.953,45637.56759291888,50229.476151593866,48807.023,48169.39,46457.54,48692.31
51576.29,51768.793,45522.324205727506,50081.09187238215,47575.31,47406.445,45787.277,48316.438
51610.0,51596.105,45448.325034556336,50380.58226596779,47181.785,47084.387,46389.93,48523.06
52130.0,52455.844000000005,45311.431792023584,50335.815740818296,47215.61,47820.777,46956.535,48885.44
51584.0,53241.027,45287.791723968796,51119.30625330962,47701.863,48790.668,47641.5,49218.22
51954.0,52549.14,45392.67531929156,51187.46221429354,47202.74,47913.6,46969.938,48539.066
52644.0,53970.34,45453.61527825409,51055.6838926288,46936.938,47344.992,47159.867,48339.55
53478.0,52282.43,45458.411311667616,51314.57869924004,46831.785,47707.11,47434.84,48175.637
56216.0,55563.066,45361.93464552298,51921.9036491848,48603.57,48771.973,48333.91,48561.36
57328.0,55592.73,45292.68124909362,52843.75666109354,50720.004,49807.31,49957.1,49232.676
57620.0,57278.78,45350.38090306301,54147.75470200706,53333.4,52406.582,52846.695,50881.824
58530.0,56003.73,45396.82133022379,54839.116578037814,54205.79,52738.492,52663.074,51283.15
58332.0,58191.37,45404.91331041664,55236.96822563073,54329.188,53623.68,53656.742,51796.805
